Customer ID,Age,Gender,Marital Status,Education Level,Geographic Information,Occupation,Income Level,Behavioral Data,Purchase History,Interactions with Customer Service,Insurance Products Owned,Coverage Amount,Premium Amount,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Segmentation Group,Age_Group,Income_Level,Spending_Category,DBSCAN_Cluster
26433,37,1,1,2,22,4,50891,3,425,0,0,941997,3381,1,3,4,3,1,4,0,1,0,0
27624,51,0,1,4,5,7,107339,3,1403,0,2,748863,3396,1,3,2,1,0,0,1,0,0,0
21370,26,0,2,4,27,2,36083,3,762,3,0,773961,2295,2,4,0,1,4,3,0,1,0,0
75794,29,0,0,2,23,8,41122,4,814,1,3,597673,720,2,1,4,2,1,4,0,1,2,0
97315,31,1,0,1,2,0,132965,0,670,2,4,658409,4443,1,2,3,4,1,1,0,3,0,0
14433,56,0,0,2,20,1,70600,1,311,2,3,998415,2868,2,0,4,2,1,3,1,2,0,0
88566,54,0,0,0,33,2,122410,2,565,2,4,847451,618,0,4,1,3,1,1,1,3,0,0
1947,43,1,0,2,32,0,81478,1,267,1,1,256051,3330,2,4,2,4,1,3,1,0,1,0
71309,30,1,3,0,22,7,80440,4,237,0,2,650225,2098,3,1,3,1,2,3,0,2,0,0
88842,31,0,1,3,1,8,50431,2,393,1,1,732197,4783,2,3,0,3,2,2,0,1,0,0
10400,42,0,0,1,9,2,78056,0,730,3,2,357157,3938,2,2,1,1,1,4,1,2,2,0
28327,43,0,4,4,10,8,108232,4,144,3,2,586631,1210,2,3,0,2,0,3,1,0,2,0
5173,47,0,3,4,9,1,120209,1,499,3,3,620517,3160,2,1,2,4,3,4,1,3,2,0
44694,40,0,4,4,2,3,68079,1,499,3,4,549322,4593,0,1,3,2,0,4,0,2,2,0
14767,34,1,2,2,6,3,101850,1,80,3,2,471217,4407,0,3,2,2,3,4,0,0,2,0
69411,29,1,2,3,29,6,144668,2,238,3,2,89690,680,2,4,1,4,4,0,0,3,1,0
50927,45,1,1,0,5,7,68151,4,747,3,2,598153,4848,2,1,4,2,3,0,1,2,2,0
87089,32,1,4,1,19,0,47926,1,180,4,4,878951,4961,0,0,3,3,3,4,0,1,0,0
77144,48,1,4,4,14,6,97460,2,1480,0,0,176947,3841,1,1,1,1,2,0,1,0,1,0
17378,43,1,1,3,14,7,120233,2,1437,0,1,764773,823,0,4,2,4,2,4,1,3,0,0
62967,41,1,2,3,17,3,24567,0,1685,3,0,388851,1148,0,4,4,0,4,2,1,1,2,0
